o_n,tc_number_s,q1,q2,q3,q4,q5,q6,q7,o_coder1,o_coder2
"R6","261",0,0,0,4,0,0,1,5,
"52","215",0,0,0,4,0,0,1,3,1
"169","588",1,1,0,4,0,1,1,3,1
"33","137",0,0,0,4,0,0,1,4,1
"198","642",1,0,0,3,0,0,1,10,1
"94","348",0,0,0,4,0,0,1,3,1
"193","626",0,0,0,4,0,1,2,9,1
"R11","422",0,0,0,0,0,0,0,10,1
"61","239",0,0,0,4,0,0,1,2,1
"216","795",0,0,0,4,0,1,1,9,1
"206","724",0,0,0,4,1,1,1,9,1
"83","283",0,0,0,4,0,0,1,5,1
"30","125",0,0,0,4,0,0,1,4,1
"158","516",1,1,0,4,0,0,1,5,1
"123","448",0,0,0,4,0,0,1,6,1
"107","397",0,1,0,4,1,0,1,3,1
"R4","174",0,0,0,4,0,0,1,9,1
"175","596",1,1,0,4,0,1,1,4,1
"4","33",0,0,0,4,0,0,1,2,1
"226","886",1,1,0,4,0,0,1,12,1
"58","234",0,0,0,4,0,0,1,9,1
"154","512",0,0,0,4,0,0,1,9,1
"12","60",0,0,0,4,0,0,1,9,1
"63","241",0,0,0,4,0,0,1,2,1
"R10","416",0,0,0,4,0,0,1,4,2
"93","342",0,0,0,4,0,0,1,12,2
"119","442",0,0,0,4,1,0,1,5,2
"69","252",0,1,0,4,0,1,1,3,2
"138","481",0,0,0,4,0,0,1,12,2
"15","64",0,0,0,4,1,1,1,10,2
"89","321",0,0,0,4,0,0,0,5,2
"117","439",0,0,0,4,0,0,1,3,2
"16","66",1,0,0,0,0,0,1,3,2
"136","476",0,0,0,4,0,0,1,1,2
"62","240",0,0,0,4,0,1,1,1,2
"165","567",1,0,0,4,0,0,1,5,2
"2","29",0,0,0,4,0,0,1,7,2
"60","238",0,0,0,4,0,1,1,1,2
"R17","586",0,1,0,2,0,0,1,1,2
"90","322",0,0,0,4,0,0,1,3,2
"221","840",0,0,0,4,1,1,1,10,2
"205","717",0,0,0,4,1,0,1,1,2
"167","572",0,0,0,2,0,0,1,4,2
"147","491",0,0,0,4,0,0,1,4,2
"125","450",0,0,0,4,0,0,1,12,2
"208","748",0,0,0,0,1,0,0,6,2
"R7","354",0,0,0,4,0,0,1,7,2
"76","271",0,0,0,4,0,0,1,7,2
"203","663",1,0,0,3,0,1,1,3,2
"130","466",1,0,0,4,0,1,1,1,2
"176","597",0,0,0,4,0,0,1,12,2
"57","228",0,0,0,4,0,0,1,4,2
"R15","579",0,0,0,2,0,0,1,10,2
"134","471",0,0,0,4,0,1,1,4,2
"177","600",0,1,0,4,0,0,1,4,3
"9","55",0,0,0,4,0,0,1,12,3
"116","434",0,0,0,4,0,0,1,1,3
"96","355",0,0,0,4,0,0,1,6,3
