l_number,l_number_c,l_gainer_s,l_loser_s,l_year,l_area,l_conq_r,l_conq_nr,r_number,r_number_c,r_gainer_s,r_loser_s,r_year,r_area,r_q2,match_land,match_name,rev_mark,notes,
4,1,United Kingd,Nepal,1816,1,1,0,431,,Belgium,United Kingd,1910,1,,1,0,,,
4,1,United Kingd,Nepal,1816,1,1,0,408,,France,United Kingd,1904,1,,1,0,,,
4,1,United Kingd,Nepal,1816,1,1,0,387,,Germany,United Kingd,1899,1,,1,0,,,
4,1,United Kingd,Nepal,1816,1,1,0,329,,Germany,United Kingd,1890,2,,1,0,,,
4,1,United Kingd,Nepal,1816,1,1,0,380,,Venezuela,United Kingd,1899,1,,1,0,,,
4,1,United Kingd,Nepal,1816,1,1,0,675,,Egypt,United Kingd,1956,1,,1,0,,,
4,1,United Kingd,Nepal,1816,1,1,0,551,,New Zealand,United Kingd,1926,6,,1,0,,,
4,1,United Kingd,Nepal,1816,1,1,0,399,,United State,United Kingd,1903,1,,1,0,,,
4,1,United Kingd,Nepal,1816,1,1,0,407,,France,United Kingd,1904,1,,1,0,,,
33,4,United Kingd,,1818,421200,1,0,628,,Canada,United Kingd,1948,404519,,1,0,,,
33,4,United Kingd,,1818,421200,1,0,819,,Zimbabwe,United Kingd,1980,390622,,1,0,,,
33,4,United Kingd,,1818,421200,1,0,497,,Newfoundland,United Kingd,1920,421481,,1,0,,,
38,,France,Madagascar,1819,1,,,360,R8,Mexico,France,1897,5,0: No,1,0,,,
40,,Mexico,Spain,1821,1426757,,,103,25,United State,Mexico,1848,1370153,0: No,1,0,,,
49,,Netherlands,United Kingd,1824,25089,,,64,15,Belgium,Netherlands,1830,27407,0: No,1,0,,,
53,,Tunisia,Turkey,1825,116348,,,257,R5,France,Tunisia,1881,116348,0: No,1,0,,,
55,9,United Kingd,Myanmar,1826,169098,1,0,707,,Somalia,United Kingd,1960,176120,,1,0,,,
55,9,United Kingd,Myanmar,1826,169098,1,0,751,,Yemen People,United Kingd,1967,160300,,1,0,,,
58,V4,Netherlands,,1828,412781,1,0,734,207,Indonesia,Netherlands,1963,412781,0: No,1,0,,,
60,12,Russia,Iran,1828,29800,1,0,470,133,Armenia,Russia,1918,31057,0: No,1,0,0,"In 1826 (Second Russo Persian War), Persia/Iran attacked Georgia to recover lost territories from Russia in Caucasus. They were defeated in Battle of Ganja, after which Russians advanced by pushing Persians back. Russia then won battles at Erivan and Tabriz in late 1827, ultimately occupying Teheran. Persians also lost their holdings in Armenia plus a cash indemnity. Armenia gained independence in 1918, but in 1920 was conquered by Soviet Union. Modern Republic of Armenia gained independence in 1991.",
60,12,Russia,Iran,1828,29800,1,0,849,,Armenia,Russia,1991,28400,,1,0,,,
63,14,Russia,,1829,4680,1,0,226,,Japan,Russia,1875,4973,,1,0,,,
64,15,Belgium,Netherlands,1830,27407,0,0,722,,Burundi,Belgium,1962,27834,,1,0,,,
64,15,Belgium,Netherlands,1830,27407,0,0,723,,Rwanda,Belgium,1962,26388,,1,0,,,
65,R3,France,Turkey,1830,275317,1,0,697,,Burkina Faso,France,1960,274200,,1,0,,,
65,R3,France,Turkey,1830,275317,1,0,701,,Gabon,France,1960,267000,,1,0,,,
65,R3,France,Turkey,1830,275317,1,0,435,,Germany,France,1911,259000,,1,0,0,Does it matter if territory exchanged between Germany and France include parts of Algeria (original territory France occupied)?,
68,,United Kingd,Argentina,1833,11961,,,629,195,Israel,United Kingd,1948,12820,0: No,1,0,,,
70,17,Texas,Mexico,1836,1010472,0,0,94,,United State,Texas,1845,1010472,,1,0,0,"Texas Revolution 1835-36 against Mexico resulted in Republic of Texas, which was later incorporated into US in 1845.",
83,,United Kingd,United State,1842,12950,,,629,195,Israel,United Kingd,1948,12820,0: No,1,0,,,
84,20,United Kingd,China,1842,75,1,0,752,,Oman,United Kingd,1967,73,,1,0,,,
88,21,United Kingd,Natal,1843,46620,1,0,711,,Cameroon,United Kingd,1961,42945,,1,0,,,
88,21,United Kingd,Natal,1843,46620,1,0,712,,Nigeria,United Kingd,1961,45325,,1,0,,,
100,23,United Kingd,,1847,1,1,0,329,,Germany,United Kingd,1890,2,,1,0,,,
100,23,United Kingd,,1847,1,1,0,551,,New Zealand,United Kingd,1926,6,,1,0,,,
100,23,United Kingd,,1847,1,1,0,431,,Belgium,United Kingd,1910,1,,1,0,,,
100,23,United Kingd,,1847,1,1,0,675,,Egypt,United Kingd,1956,1,,1,0,,,
100,23,United Kingd,,1847,1,1,0,399,,United State,United Kingd,1903,1,,1,0,,,
100,23,United Kingd,,1847,1,1,0,380,,Venezuela,United Kingd,1899,1,,1,0,,,
100,23,United Kingd,,1847,1,1,0,407,,France,United Kingd,1904,1,,1,0,,,
100,23,United Kingd,,1847,1,1,0,408,,France,United Kingd,1904,1,,1,0,,,
100,23,United Kingd,,1847,1,1,0,387,,Germany,United Kingd,1899,1,,1,0,,,
101,24,France,,1847,200000,1,0,607,183,Syria,France,1946,184920,0: No,1,0,,,
105,26,United Kingd,,1849,151536,1,0,751,,Yemen People,United Kingd,1967,160300,,1,0,,,
114,27,United Kingd,Myanmar,1852,83657,1,0,732,,Malaysia,United Kingd,1963,76115,,1,0,,,
114,27,United Kingd,Myanmar,1852,83657,1,0,545,,Italy,United Kingd,1924,85470,,1,0,,,
114,27,United Kingd,Myanmar,1852,83657,1,0,609,,Jordan,United Kingd,1946,89484,,1,0,,,
115,,Transvaal,United Kingd,1852,286065,,,397,107,United Kingd,Transvaal,1902,286065,1: Yes,1,1,,,
117,28,France,,1853,16112,1,0,821,,Vanuatu,France,1980,14760,,1,0,0,Not sure if Vanuatu consituted part of France's gain in New Caledonia.,My understanding is that New Caledonia and Vanuatu are distinct entities
118,,Russia,,1853,66120,,,467,131,Latvia,Russia,1918,63300,0: No,1,0,,,
118,,Russia,,1853,66120,,,471,134,Georgia,Russia,1918,66976,0: No,1,0,,,
124,,Egypt,Turkey,1855,1021081,,,261,R6,United Kingd,Egypt,1882,1021081,0: No,1,0,,,
