year,month,gainer,gaintype,procedur,entity,contgain,area,pop,portion,loser,losetype,contlose,entry,exit,number,indep,conflict,version
1816,7,160,1,-9,160,-9,2093164,1970000,1,230,0,0,1,0,3,1,0,4.01
1816,3,200,0,3,790,0,1,.,0,790,1,1,0,0,4,0,1,4.01
1816,.,200,0,3,420,0,179,.,0,-9,1,-9,0,0,5,0,0,4.01
1817,.,220,0,3,433,0,7819,100000,1,200,0,0,0,0,28,0,0,4.01
1817,.,365,1,1,365,1,650,.,0,-9,1,1,0,0,29,0,1,4.01
1818,10,2,1,3,20,1,84240,.,0,200,0,0,0,0,30,0,0,4.01
1818,12,155,1,-9,155,-9,464568,1656300,1,230,0,0,1,0,31,1,1,4.01
1818,10,200,0,3,2,0,41600,.,0,2,1,1,0,0,32,0,0,4.01
1818,6,200,0,1,750,0,421200,.,0,-9,1,-9,0,0,33,0,1,4.01
1818,.,200,0,2,438,0,16,.,0,-9,1,-9,0,0,34,0,0,4.01
1818,.,640,1,3,671,1,388500,.,1,-9,1,-9,0,0,35,0,1,4.01
1819,2,2,1,3,40,1,186488,54477,0,230,0,0,0,0,36,0,0,4.01
1819,12,100,1,-9,100,-9,660760,1400000,1,230,0,0,1,0,37,1,0,4.01
1819,.,220,0,2,580,0,1,.,0,580,1,1,0,0,38,0,0,4.01
1821,11,42,1,-9,42,-9,48734,89000,1,230,0,0,-9,0,39,1,0,4.01
1821,3,70,1,-9,70,-9,1426757,7000000,1,230,0,0,1,0,40,1,0,4.01
1821,6,100,1,1,101,1,1082207,800000,1,230,0,0,0,0,41,0,1,4.01
1821,7,135,1,-9,135,-9,1559891,1929300,1,230,0,0,-9,0,42,1,0,4.01
1821,11,235,0,3,165,0,269810,70000,1,230,0,0,0,0,43,0,0,4.01
1822,5,100,1,1,130,1,550685,600000,1,230,0,0,0,0,44,0,1,4.01
1822,.,640,1,1,625,1,229471,100000,1,-9,1,-9,0,0,45,0,1,4.01
1824,12,140,1,-9,140,-9,8259504,5306418,1,235,0,0,1,0,46,1,0,4.01
1824,3,200,0,3,830,0,583,10000,1,-9,1,1,0,0,47,0,0,4.01
1824,3,200,0,3,827,0,1658,77756,0,210,0,0,0,0,48,0,0,4.01
1824,3,210,0,3,850,0,25089,93875,0,200,0,0,0,0,49,0,0,4.01
1825,8,145,1,-9,145,-9,3016000,1750000,1,230,0,0,1,0,50,1,0,4.01
