cyear,ccode,scode,country,year,flag,fragment,democ,autoc,polity,polity2,durable,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,prior,emonth,eday,eyear,eprec,interim,bmonth,bday,byear,bprec,post,change,d4,sf,regtrans
"7001978","700","AFG","Afghanistan","1978","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","-7","4","16","1978","3","-77","","","","","","-77","","1","-77"
"7001979","700","AFG","Afghanistan","1979","0","","-66","-66","-66","","0","-66","-66","-66","-66","-66","-66","-66","-66","-66","","12","27","1979","","-66","","","","","","-66","","1","-66"
"7001992","700","AFG","Afghanistan","1992","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","-8","4","16","1992","2","-77","","","","","","-77","","1","-77"
"7001993","700","AFG","Afghanistan","1993","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"7001994","700","AFG","Afghanistan","1994","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"7001995","700","AFG","Afghanistan","1995","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"7001996","700","AFG","Afghanistan","1996","0","","0","7","-7","-7","0","1","0","0","1","4","1","4","1","1","-8","4","16","1992","2","-77","9","27","1996","9","-7","1","1","1","0"
"7002001","700","AFG","Afghanistan","2001","0","2","-66","-66","-66","","0","-66","-66","-66","-66","-66","-66","-66","-66","-66","-7","10","7","2001","1","-77","12","23","2001","2","-66","-66","","1","-66"
"3391915","339","ALB","Albania","1915","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","-2","3","9","1915","1","-77","","","","","","-77","","1","-77"
"3391916","339","ALB","Albania","1916","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3391917","339","ALB","Albania","1917","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3391918","339","ALB","Albania","1918","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3391919","339","ALB","Albania","1919","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3391920","339","ALB","Albania","1920","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3391921","339","ALB","Albania","1921","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3391922","339","ALB","Albania","1922","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3391923","339","ALB","Albania","1923","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3391924","339","ALB","Albania","1924","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3391925","339","ALB","Albania","1925","0","","0","9","-9","-9","0","2","1","4","1","4","1","3","1","1","-2","3","9","1915","1","-77","1","22","1925","1","-9","-7","1","1","-2"
"3391939","339","ALB","Albania","1939","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","-9","4","8","1939","1","-77","","","","","","-77","","1","-77"
"3391940","339","ALB","Albania","1940","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3391941","339","ALB","Albania","1941","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3391942","339","ALB","Albania","1942","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3391943","339","ALB","Albania","1943","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3391944","339","ALB","Albania","1944","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3391945","339","ALB","Albania","1945","0","","-88","-88","-88","-5","0","-88","-88","-88","-88","-88","-88","-88","-88","-88","","11","10","1945","1","-88","","","","","","0","","1","0"
"5401992","540","ANG","Angola","1992","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","5","16","1992","3","-77","","","","","","-77","","1","-77"
"5401993","540","ANG","Angola","1993","0","","-88","-88","-88","-1","0","-88","-88","-88","-88","-88","-88","-88","-88","-88","","6","15","1993","2","-88","","","","","","0","","1","1"
"3051938","305","AUS","Austria","1938","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","-9","3","15","1938","1","-77","","","","","","-77","","1","-77"
"3051939","305","AUS","Austria","1939","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3051940","305","AUS","Austria","1940","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3051941","305","AUS","Austria","1941","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3051942","305","AUS","Austria","1942","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3051943","305","AUS","Austria","1943","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3051944","305","AUS","Austria","1944","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3051945","305","AUS","Austria","1945","0","","-88","-88","-88","5","0","-88","-88","-88","-88","-88","-88","-88","-88","-88","","4","30","1945","1","-88","","","","","","0","","1","3"
"3461992","346","BOS","Bosnia","1992","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","","4","5","1992","1","-77","99","1","1","99"
"3461993","346","BOS","Bosnia","1993","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3461994","346","BOS","Bosnia","1994","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3461995","346","BOS","Bosnia","1995","0","","-66","-66","-66","","0","-66","-66","-66","-66","-66","-66","-66","-66","-66","","12","20","1995","1","-66","","","","","","-66","","1","-66"
"5161993","516","BUI","Burundi","1993","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","10","21","1993","1","-77","","","","","","-77","","1","-77"
"5161994","516","BUI","Burundi","1994","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5161995","516","BUI","Burundi","1995","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5161996","516","BUI","Burundi","1996","0","","0","5","-5","-5","0","1","0","0","2","4","2","4","2","2","","7","25","1996","9","-5","","","","","","0","","1","1"
"3551943","355","BUL","Bulgaria","1943","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","-10","8","29","1943","2","-77","","","","","","-77","","1","-77"
